,Unnamed: 0,user_id,username,date,Tweet
31,31,852380154,Aisyyah Nurunnisa,Tue Mar 05 03:03:43 +0000 2019,"['who', 'do', 'u', 'think', 'u', 'are', 'dude', 'i', 'never', 'getting', 'jealous', 'on', 'u', 'tolol']"
32,32,837982028742049792,ㅤｑｗｉｎ.,Tue Mar 05 03:03:39 +0000 2019,"['rt', 'dellaniacyn', 'myungsoocaper', 'silverqwin', 'tolol', 'bin', 'tolol😭', 'silverqwin']"
33,33,1598427926,chaca,Tue Mar 05 03:03:20 +0000 2019,"['fix', 'dah', 'ni', 'bener', 'bener', 'gw', 'dah', 'rapih', 'jam', '8', 'lewat', '20an', 'masa', 'sampe', 'kantor', 'jam', '951', 'masuknya', 'aj', 'jm', '9', 'fix', 'tolol']"
34,34,383689723,Muthia Afro,Tue Mar 05 03:01:45 +0000 2019,"['rt', 'melindpriana', 'paling', 'benci', 'denger', 'kata', 'kata', 'tolol', 'itu', 'kata', 'yg', 'palingggg', 'kasar', 'menurut', 'gue', 'sih']"
35,35,1338658640,Dian Purbasari,Tue Mar 05 03:00:13 +0000 2019,"['aku', 'mudah', 'marah', 'seperti', 'squidward', 'kadang', 'aku', 'juga', 'egois', 'seperti', 'tuan', 'krab', 'kadang', 'aku', 'tolol', 'seperti', 'patrick', 'tapi', 'aku', 'akan', 'selalu', 'ada', 'untukmu', 'seperti', 'spongebob']"
36,36,98343786,🍫🦋,Tue Mar 05 03:00:09 +0000 2019,"['minomiyesungie', 'wow', 'dari', 'tadi', 'gue', 'nggak', 'ada', 'ngehina', 'ya', 'baca', 'ya', 'tolol', 'gue', 'nerusin', 'bilang', 'offended', 'sensi', 'httpstcoevqy7lb7iv']"
37,37,1065575584967708673,Abah Jenglot,Tue Mar 05 02:59:57 +0000 2019,"['hanya', 'manusia', 'tolol', 'yang', 'nyebut', 'ini', 'musibah', 'karena', 'orang', 'pake', 'narkoba', 'itu', 'kebiasaan', 'kecanduan', 'mungkin', 'andiarief', 'sejak', 'dulu', 'dia', 'pemakai', 'sabu', 'httpstco4dyrlvfkef']"
38,38,1017280594311405568,mahluk,Tue Mar 05 02:59:25 +0000 2019,"['rt', 'ahjusi', 'uusbiasaaja', 'agama', 'ku', 'asik', 'cuman', 'orang', 'nya', 'aja', 'banyak', 'yang', 'tolol']"
39,39,703791866731302912,pio,Tue Mar 05 02:58:58 +0000 2019,"['heh', 'paku', 'tembok', 'seharusnya', 'mikir', 'lo', 'emang', 'lo', 'kira', 'omongan', 'lo', 'itu', 'ga', 'bikin', 'org', 'lain', 'kithati', 'nyuruh', 'orang', 'ngaca', 'tapi', 'dia', 'sendiri', 'ga', 'ngaca', 'gosah', 'sok', 'suci', 'la', 'lo', 'ga', 'punya', 'privileged', 'tolol', 'semacem', 'itu', 'ya', 'kalo', 'ga', 'mau', 'diomongin', 'org', 'jangan', 'ngomongin', 'orang', 'simple']"
40,40,311275275,andi,Tue Mar 05 02:58:56 +0000 2019,"['shittyrude', 'botmarah', 'lah', 'anjink', 'lu', 'yang', 'tolol', 'bilangin', 'gitu', 'ra']"
41,41,213178302,silvani rezky,Tue Mar 05 02:57:24 +0000 2019,"['rt', 'halleluhellyeah', 'ngarep', 'pengen', 'punya', 'pacar', 'yang', 'religius', 'itu', 'tolol', 'sebab', 'kalo', 'beneran', 'religius', 'mana', 'mau', 'di', 'ajak', 'pacaran', 'karena', 'agama', 'm…']"
42,42,973821410706644994,🌸,Tue Mar 05 02:57:15 +0000 2019,"['askmenfess', 'nder', 'lu', 'pagi', 'pagi', 'udah', 'tolol', 'aja']"
43,43,949329637288509440,della,Tue Mar 05 02:55:49 +0000 2019,"['myungsoocaper', 'silverqwin', 'tolol', 'bin', 'tolol😭', 'silverqwin']"
44,44,320178844,ichal,Tue Mar 05 02:52:45 +0000 2019,"['“enak', 'ya', 'padahal', 'di', 'balik', 'makanan', 'ini', 'ada', 'kata2', 'yang', 'bijak', '“tolol', 'lo', '“anjing', 'gua', 'aja', 'di', 'kasi', 'itu', 'gamau', 'makan', 'apalagi', 'tamu', '“kepala', 'lo', 'kayak', 'kontol', 'wingggg', 'teplon', 'berterbangan', 'menghantam', 'meja', 'menendang', 'tong', 'sampah', 'kita', 'mah', 'bawahan', 'cuman', 'blg', '“yes', 'chef', 'httpstcopq8sntwx2c']"
45,45,1076429311127695361,(`･ω･´),Tue Mar 05 02:51:36 +0000 2019,"['rt', 'ahjusi', 'uusbiasaaja', 'agama', 'ku', 'asik', 'cuman', 'orang', 'nya', 'aja', 'banyak', 'yang', 'tolol']"
46,46,851580594332999680,deha,Tue Mar 05 02:51:32 +0000 2019,"['tolong', 'banget', 'report', 'akun', 'dibawah', 'tolol', 'bgt', 'yang', 'ngedit', 'totwentyyeri', 'timetoioveyeri']"
47,47,2766907180,Sammybagasprawira,Tue Mar 05 02:50:41 +0000 2019,"['rt', 'helmifelis', 'cebong', 'ngerti', 'bahasa', 'inggris', 'kan', 'mayoritas', 'pendukungnya', 'tolol', 'ini', 'yang', 'gue', 'omongin', '3', 'tahun', 'lalu', 'di', 'fb', 'sekarang', 'ada', 'nih', 'i…']"
48,48,1101104264540184576,Dissxwho?,Tue Mar 05 02:50:31 +0000 2019,"['ikan', 'teri', 'ikan', 'benggol', 'dasar', 'tolol', 'httpstcop62njapkxg']"
49,49,1095721817967255554,Riyadh Mahrez P,Tue Mar 05 02:50:07 +0000 2019,"['aadamkurniawan', 'rakyatpinggira7', 'helmifelis', 'tampang', 'tolol']"
50,50,317649098,Letissia Adisty,Tue Mar 05 02:49:23 +0000 2019,"['dua', 'hari', 'terakhir', 'rasanya', 'gue', 'pengen', 'marahmarah', 'kalau', 'ada', 'yg', 'bikin', 'ribet', 'sedikit', 'lemot', 'menghambat', 'atau', 'juga', 'yg', 'rada', 'tolol']"
51,51,1096229016422367232,Ric Liem,Tue Mar 05 02:48:57 +0000 2019,"['jayabay19479190', 'gimana', 'prabowo', 'bisa', 'jd', 'presiden', 'klo', 'anak', 'buahnya', 'tolol', 'ga', 'punya', 'otaktukang', 'fitnahsuka', 'menyalahkan', 'org', 'lain', 'tetap', 'pakde', 'jokowi', 'aja', 'deh']"
52,52,267529009,,Tue Mar 05 02:48:43 +0000 2019,"['orang', 'tolol', 'adalah', 'orang', 'yg', 'selalu', 'menjelek2an', 'negaranya', 'sendiri', 'padahal', 'dia', 'masih', 'merupakan', 'bagian', 'dari', 'warga', 'negara', 'tersebut']"
53,53,830247847836606464,jihan,Tue Mar 05 02:48:17 +0000 2019,"['rlthingy', 'anjir', 'ya', 'ga', 'gitu', 'jugalah', 'lo', 'tolol', 'jg', 'gaada', 'bedanya', 'anjig', 'emosi', 'gue', 'msh', 'pagi', 'astaghfirullahaladzim']"
